actor,character,named,uncredited,voice
Chris Pratt,Peter Quill,true,false,false
Zoe Saldana,Gamora,true,false,false
Dave Bautista,Drax,true,false,false
Vin Diesel,Groot,true,false,true
Bradley Cooper,Rocket,true,false,true
Lee Pace,Ronan,true,false,false
Michael Rooker,Yondu Udonta,true,false,false
Karen Gillan,Nebula,true,false,false
Djimon Hounsou,Korath,true,false,false
John C. Reilly,Corpsman Dey,true,false,false
Glenn Close,Nova Prime,false,false,false
Benicio Del Toro,The Collector,true,false,false
Laura Haddock,Meredith Quill,true,false,false
Sean Gunn,Kraglin / On Set Rocket,true,false,false
Peter Serafinowicz,Denarian Saal,true,false,false
Christopher Fairbank,The Broker,true,false,false
Krystian Godlewski,On Set Groot,false,false,false
Wyatt Oleff,Young Quill,true,false,false
Gregg Henry,Grandpa,false,false,false
Janis Ahern,Meredith's Mother,false,false,false
Solomon Mousley,Meredith's Brother,false,false,false
Lindsay Morton,Meredith's Best Friend,false,false,false
Robert Firth,Dr. Fitzgibbon,true,false,false
Melia Kreiling,Bereet,true,false,false
Tom Proctor,Horuz,true,false,false
Nick Holmes,Horuz's Mate,false,false,false
Max Wrottesley,Sacrifice Nova Corpsman,false,false,false
Stan Lee,Xandarian Ladies' Man,false,false,false
Nicole Alexandra Shipley,Pretty Xandarian,false,false,false
Sharif Atkins,Nova Arresting Pilot,false,false,false
Brendan Fehr,Corpsman Dey's Partner,false,false,false
Tomas Arana,Kree Ambassador,false,false,false
Mikaela Hoover,Nova Prime's Assistant,false,false,false
Emmett J Scanlan,Head Riot Guard,false,false,false
Dominic Grant,Angry Guard,false,false,false
Spencer Wilding,Mean Guard,false,false,false
Alison Lintott,Sad Woman with Horns,false,false,false
Alexis Rodney,Moloka Dar,true,false,false
Nathan Fillion,Monstrous Inmate,false,false,true
Keeley Forsyth,Mottled Prisoner,false,false,false
Frank Gilhooley,Burly Prisoner,false,false,false
Alexis Denisof,The Other,true,false,false
Enzo Cilenti,Watchtower Guard,false,false,false
Richard Katz,One Legged Prisoner,false,false,false
Enoch Frost,Rifle Guard,false,false,false
Ronan Summers,'Drop the Leg' Guard,false,false,false
Ophelia Lovibond,Carina,true,false,false
Laura Ortiz,Tortured Pink Girl,false,false,false
Marama Corlett,Pit Boss,false,false,false
Rosie Jones,Lady of the Boot of Jemiah,false,false,false
Abidemi Sobande,Lady of the Boot of Jemiah,false,false,false
Alex Rose,Lady of the Boot of Jemiah,false,false,false
Ekaterina Zalitko,Lady of the Boot of Jemiah,false,false,false
Emily Redding,Lady of the Boot of Jemiah,false,false,false
Fred,Cosmo the Space Dog,true,false,false
Stephen Blackehart,Knowhere Dispatcher,false,false,false
Jennifer Moylan-Taylor,Sad Krylorian Girl,false,false,false
Bruce Mackinnon,One-Eyed Ravager,false,false,false
Ralph Ineson,Ravager Pilot,false,false,false
Rob Zombie,Ravager Navigator,false,false,true
Naomi Ryan,Nova Centurion,false,false,false
John Brotherton,Nova Starblaster Pilot,false,false,false
Graham Shiels,Alien Nova Pilot,false,false,false
James Gunn,Maskless Sakaaran / Dancing Groot / Sakaarans,false,false,false
Douglas Robson,Maskless Sakaaran,false,false,false
Rachel Cullen,Corpsman Dey's Wife,false,false,false
Isabella Poynton,Corpsman Dey's Daughter,false,false,false
Imogen Poynton,Corpsman Dey's Daughter,false,false,false
David Yarovesky,Goth Ravager,false,false,false
Miriam Lucia,Crying Xandarian Citizen,false,false,false
Raed Abbas,Ravager,false,true,false
Adrian Allan,Nova Corps Soldier / Policeman,false,false,false
Freddie Andrews,Traveler,false,true,false
Habib Anibaba,Nova Corps Millennian,false,true,false
Eddie Bammeke,Prisoner,false,true,false
Helen Banks,Prisoner,false,true,false
Tyler Bates,Ravager Pilot,false,true,false
Richard Blenkiron,Exolon Monk,false,true,false
David Booth,Knowhere Miner,false,true,false
Josh Brolin,Thanos,true,true,false
Bern Collaço,Morag Citizen,false,true,false
Rowan Cox,Prisoner,false,true,false
Alysson Da Silva,Prisoner,false,true,false
Marianna Dean,Peter's Aunt,false,true,false
Wayne Devlin,Nova Guard,false,true,false
Simara Dixon,Xandarian Alien,false,true,false
Jadey Duffield,Xander,true,true,false
Barny DuPlessis,Flocks Alien Prisoner,false,true,false
Mark Falvo,Prisoner,false,true,false
Kristen Fick,Alien Prisoner,false,true,false
Gracie Fitch,Groot's Flower Girl,false,true,false
Melissa Galloway,Hospital Visitor,false,true,false
Alex Gillison,Xandar Traveler,false,true,false
Sophie Gooding,Xandar Citizen,false,true,false
Henry Goodrich,Crane Operator,false,true,false
Seth Green,Howard the Duck,true,true,true
Victoria Gugenheim,Kallulian Kyln Prisoner,false,true,false
Simon Hatt,Prisoner / Sakaarans,false,false,false
Leigh Holland,Alien Prisoner,false,true,false
Pete Buzzsaw Holland,Prisoner,false,true,false
James Walton Ingham,Knowhere Miner,false,true,false
Lee Edward Jones,Exolon Monk,false,true,false
Lloyd Kaufman,Prisoner,false,true,false
Jonathan Lipow,Sakaarans,false,true,true
Matt Lott,Prisoner,false,true,false
Matthew David McCarthy,Prison Alien,false,true,false
Stephen McDade,Prisoner,false,true,false
Erica Melargo,Xandar Resident,false,true,false
Serhat Metin,Nova Corps Officer,false,true,false
Georgiana Mihai,Exolon Monk,false,true,false
Sandeep Mohan,Exolon Monk,false,true,false
Nigel Murfitt,Neo-Nazi Prisoner,false,true,false
Emeson Nwolie,Knowhere Miner,false,true,false
Oreo,Rocket Racoon Facial Reference,false,true,false
Louise Port,Nova Yellow Alien Worker,false,true,false
Joseph Quartson,Miner,false,true,false
Diezel Ramos,Prison Guard,false,true,false
Deborah Rosan,Alien 1,false,true,false
Gordon Round,Prison Guard,false,true,false
Steve Saunders,Kyln Prisoner,false,true,false
Andrew Scott-Marshall,Alien Prisoner,false,true,false
Julian Seager,Prisoner,false,true,false
Clem So,Kyln Prisoner,false,true,false
Adrian South,Xandar Resident,false,true,false
Peter Theobalds,Kyln Prisoner,false,true,false
Wesley Von Spears,Holographic Dog,false,true,false
Paul Warren,Alien,false,true,false
Tatiana Zarubova,Female Prison Guard,false,true,false
