actor,character,named,uncredited,voice
Robert Downey Jr.,Tony Stark / Iron Man,true,false,false
Chris Hemsworth,Thor,true,false,false
Mark Ruffalo,Bruce Banner / Hulk,true,false,false
Chris Evans,Steve Rogers / Captain America,true,false,false
Scarlett Johansson,Natasha Romanoff / Black Widow,true,false,false
Don Cheadle,James Rhodes / War Machine,true,false,false
Benedict Cumberbatch,Doctor Strange,true,false,false
Tom Holland,Peter Parker / Spider-Man,true,false,false
Chadwick Boseman,T'Challa / Black Panther,true,false,false
Zoe Saldana,Gamora,true,false,false
Karen Gillan,Nebula,true,false,false
Tom Hiddleston,Loki,true,false,false
Paul Bettany,Vision,true,false,false
Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,true,false,false
Anthony Mackie,Sam Wilson / Falcon,true,false,false
Sebastian Stan,Bucky Barnes / Winter Soldier,true,false,false
Idris Elba,Heimdall,true,false,false
Danai Gurira,Okoye,true,false,false
Peter Dinklage,Eitri,true,false,false
Benedict Wong,Wong,true,false,false
Pom Klementieff,Mantis,true,false,false
Dave Bautista,Drax,true,false,false
Vin Diesel,Groot,true,false,true
Bradley Cooper,Rocket,true,false,true
Gwyneth Paltrow,Pepper Potts,true,false,false
Benicio Del Toro,The Collector,true,false,false
Josh Brolin,Thanos,true,false,false
Chris Pratt,Peter Quill / Star-Lord,true,false,false
Sean Gunn,On-Set Rocket,false,false,false
William Hurt,Secretary of State Thaddeus Ross,true,false,false
Letitia Wright,Shuri,true,false,false
Terry Notary,Cull Obsidian / On-Set Groot,false,false,false
Tom Vaughan-Lawlor,Ebony Maw,true,false,false
Carrie Coon,Proxima Midnight,true,false,false
Michael James Shaw,Corvus Glaive,true,false,false
Stan Lee,Bus Driver,false,false,false
Winston Duke,M'Baku,true,false,false
Florence Kasumba,Ayo,false,false,false
Kerry Condon,Voice of Friday,false,false,true
Monique Ganderton,On-Set Proxima Midnight,false,false,false
Jacob Batalon,Ned,true,false,false
Tiffany Espensen,Cindy,true,false,false
Isabella Amara,Sally,true,false,false
Ethan Dizon,Tiny,false,false,false
Ariana Greenblatt,Young Gamora,true,false,false
Ameenah Kaplan,Gamora's Mother,false,false,false
Ross Marquand,Red Skull,true,false,false
Michael Anthony Rogers,Secretary Ross' Aide,false,false,false
Stephen McFeely,Secretary Ross' Aide,false,false,false
Aaron Lazar,Doctor Strange Double,false,false,false
Robert Pralgo,Thanos Reader,false,false,false
Olaniyan Thurmon,Teenage Groot Reader,false,false,false
Blair Jasin,Street Pedestrian #1,false,false,false
Matthew Zuk,Street Pedestrian #2,false,false,false
Laura Miller,Scottish News,false,false,false
Damon Emmons,High school Student,false,false,false
Marija Juliette Abney,Dora Milaje,false,true,false
Kenneth Branagh,Asgardian Distress Call,false,true,true
Àaron Brewster,Bike Rider in Park,false,true,false
Sergio Briones,NYPD,false,true,false
Lucie Carroll,Mourner,false,true,false
Jamel Chambers,Merchant,false,true,false
Matthew Christensen,Student,false,true,false
Harry Drizzy,NYC Pedestrian,false,true,false
David Dman Escobar,Taxi Cab Driver,false,true,false
Steven Essani,Soldier,false,true,false
Jacob Evans,NYC Pedestrian,false,true,false
Daniela Gaskie,National Guard,false,true,false
Martavious Gayles,Construction Worker,false,true,false
John Gettier,NYPD,false,true,false
Solomon Glave,Coffee Shop Employee,false,true,false
Emelita T. Gonzalez,Zen-Whoberi Elder,false,true,false
Cecil M. Henry,Patron in Vehicle,false,true,false
Bobby Hoskins,Asgardian,false,true,false
Rabon Hutcherson,Border Tribe,false,true,false
Samuel L. Jackson,Nick Fury,true,true,false
Floyd Anthony Johns Jr.,Jabari Warrior,false,true,false
Kejuan London Keith,Citizen,false,true,false
Mallory Kidwell,NYC Pedestrian,false,true,false
Devin Koehler,NYC Pedestrian,false,true,false
Demetri Landell,Asgardian,false,true,false
Chase Ledgerwood,NYC Pedestrian,false,true,false
Elgin Lee,Pedestrian,false,true,false
Luke Maher,Medical Assistant,false,true,false
Joe Maitland,Edinburgh Pedestrian,false,true,false
Perla Middleton,Business Worker,false,true,false
Michael Pierino Miller,NY Business Man,false,true,false
Frank David Monroe,Border Tribe Warrior,false,true,false
Kevin Montgomery,Student,false,true,false
Jared Moser,NYC Pedestrian,false,true,false
Marie Mouroum,Dora Milaje,false,true,false
Callan Mulvey,Jack Rollins,true,true,false
Harrison Osterfield,Boy on Bus,false,true,false
Edward Parker,Construction Worker,false,true,false
Annie Pisapia,Pedestrian,false,true,false
Austin Rospert,Pedestrian,false,true,false
James Siderits,NYC Pedestrian,false,true,false
Matthew Excel Simmons,Asgardian,false,true,false
Cobie Smulders,Maria Hill,true,true,false
Shawn South,NYC Pedestrian,false,true,false
James Sterling,NYC Pedestrian,false,true,false
Travis Thompson,New York Pedestrian,false,true,false
Robert Tinsley,Sanitation Worker,false,true,false
Kevin D Wilson,Jogger,false,true,false
Michael David Yuhl,NYC Maintenance,false,true,false
